state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Puducherry,LAWSPET,11,V.P. SIVAKOLUNDHU,All India N.R. Congress,1927,3916,6544,9039,10416,,10416,162,10578,39.52,26766
Puducherry,LAWSPET,11,R. RAJANGAM,Communist Party of India (Marxist),46,105,183,271,290,,290,11,301,1.12,26766
Puducherry,LAWSPET,11,M. VAITHIANATHAN,Indian National Congress,2124,4210,6311,8077,9018,,9018,143,9161,34.23,26766
Puducherry,LAWSPET,11,P. ELUMALAI,Pattali Makkal Katchi,13,29,38,46,51,,51,1,52,0.19,26766
Puducherry,LAWSPET,11,V. SAMINATHAN,Tamilaga Vettri Kazhagam,1270,2247,3524,4755,5603,,5603,44,5647,21.1,26766
Puducherry,LAWSPET,11,L. NARASSIMMAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,2,7,11,21,34,,34,4,38,0.14,26766
Puducherry,LAWSPET,11,S. JAYACHITRA,Naam Tamilar Katchi,96,184,302,376,424,,424,9,433,1.62,26766
Puducherry,LAWSPET,11,GOPALAKRISHNAN,Independent,20,29,97,130,175,,175,3,178,0.67,26766
Puducherry,LAWSPET,11,CHANDRASEGARAN,Independent,7,29,53,73,88,,88,0,88,0.33,26766
Puducherry,LAWSPET,11,K. MURUGAN,Independent,11,13,19,21,25,,25,0,25,0.09,26766
Puducherry,LAWSPET,11,RAJASEKARAN .H,Independent,9,17,22,30,36,,36,1,37,0.14,26766
Puducherry,LAWSPET,11,NOTA,None of the Above,41,103,143,195,222,,222,6,228,0.85,26766
Puducherry,MAHE,29,A. DINESAN,Bharatiya Janata Party,1288,3234,5175,6849,,,6849,120,6969,29.28,23801
Puducherry,MAHE,29,RAMESH PARAMBATH,Indian National Congress,1378,3138,5528,7124,,,7124,136,7260,30.5,23801
Puducherry,MAHE,29,PRIJESH. M,Tamilaga Vettri Kazhagam,54,79,104,122,,,122,0,122,0.51,23801
Puducherry,MAHE,29,MOHAMED SAMEEL,Indian Union Muslim League,192,316,558,789,,,789,11,800,3.36,23801
Puducherry,MAHE,29,ADV. T. ASHOK KUMAR,Independent,1806,3923,5833,8251,,,8251,124,8375,35.19,23801
Puducherry,MAHE,29,ASHOKAN.  M,Independent,18,31,43,61,,,61,2,63,0.26,23801
Puducherry,MAHE,29,RAMESH,Independent,5,8,14,24,,,24,0,24,0.1,23801
Puducherry,MAHE,29,SARASWATHI. P. P.,Independent,8,20,34,44,,,44,1,45,0.19,23801
Puducherry,MAHE,29,NOTA,None of the Above,25,68,105,141,,,141,2,143,0.6,23801
Puducherry,MANAVELY,20,R K R. ANANTHARAMAN,Indian National Congress,1662,2816,3876,5575,5810,,5810,122,5932,18.32,32386
Puducherry,MANAVELY,20,EMBALAM SELVAM @ SELVAM. R,Bharatiya Janata Party,2460,5585,8213,10367,10466,,10466,263,10729,33.13,32386
Puducherry,MANAVELY,20,B.RAMU,Tamilaga Vettri Kazhagam,3550,6658,10030,13388,13659,,13659,163,13822,42.68,32386
Puducherry,MANAVELY,20,RAJARAM,Pattali Makkal Katchi,15,29,38,55,55,,55,3,58,0.18,32386
Puducherry,MANAVELY,20,M.S. ELANGOVAN,Naam Tamilar Katchi,175,264,443,569,573,,573,16,589,1.82,32386
Puducherry,MANAVELY,20,G.GANAPATHY,Aanaithinthiya Jananayaka Pathukappu Kazhagam,13,32,44,57,57,,57,4,61,0.19,32386
Puducherry,MANAVELY,20,PAVITHRA VEERAMANY,Independent,51,91,125,188,199,,199,7,206,0.64,32386
Puducherry,MANAVELY,20,R. PERUMAL,Independent,159,241,455,703,744,,744,10,754,2.33,32386
Puducherry,MANAVELY,20,NOTA,None of the Above,63,120,175,225,231,,231,4,235,0.73,32386
Puducherry,MANGALAM,4,K. RAGUBADY,Indian National Congress,415,922,1098,1232,1395,,1395,19,1414,3.99,35405
Puducherry,MANGALAM,4,N. RANGASAMY,All India N.R. Congress,3824,7570,10909,14713,17607,,17607,310,17917,50.61,35405
Puducherry,MANGALAM,4,S.S. RANGAN,Dravida Munnetra Kazhagam,2575,4688,6855,9134,10758,,10758,109,10867,30.69,35405
Puducherry,MANGALAM,4,SATHIYAMOORTHY .G,Tamilaga Makkal Thannurimai Katchi,12,49,65,74,83,,83,0,83,0.23,35405
Puducherry,MANGALAM,4,M.K. SATHIA MANIKKAVASAGANE,Tamilaga Vettri Kazhagam,764,1280,2537,3568,4191,,4191,11,4202,11.87,35405
Puducherry,MANGALAM,4,M. SUBRAMANI,Naam Tamilar Katchi,62,133,266,368,445,,445,2,447,1.26,35405
Puducherry,MANGALAM,4,G. MATHIYALAGAN,Pattali Makkal Katchi,7,33,46,56,60,,60,2,62,0.18,35405
Puducherry,MANGALAM,4,I. THAVAMANI,Independent,12,92,101,110,120,,120,3,123,0.35,35405
Puducherry,MANGALAM,4,E. BALARAMAN,Independent,28,56,73,86,99,,99,1,100,0.28,35405
Puducherry,MANGALAM,4,NOTA,None of the Above,26,55,103,163,189,,189,1,190,0.54,35405
Puducherry,MANNADIPET,1,T.P.R. SELVAME,Indian National Congress,2773,5552,8205,9667,,,9667,141,9808,33.25,29502
Puducherry,MANNADIPET,1,A. NAMASSIVAYAM,Bharatiya Janata Party,4566,9083,13152,15699,,,15699,219,15918,53.96,29502
