state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,CHABUA-LAHOWAL,87,NOTA,None of the Above,254,433,666,956,1163,1391,1617,1856,2080,2310,2600,2825,2967,3215,3431,3711,3770,3792,,,,,,,,,,,,,,,,3792,28,3820,2.6,146834
Assam,CHAMARIA,27,IMDAD HUSSAIN,All India United Democratic Front,2340,5607,8973,13154,17428,20302,21802,26123,31478,34495,38832,43729,47488,50579,55152,57948,61102,63428,65735,67551,69542,69751,70034,70615,70838,,,,,,,,,70838,186,71024,30.28,234572
Assam,CHAMARIA,27,MD. NURUL ISLAM,Asom Gana Parishad,146,380,492,570,659,1602,3387,4329,4927,5023,5173,5363,5487,5631,5743,5910,7286,8086,8685,9054,9177,9508,9519,9526,9531,,,,,,,,,9531,39,9570,4.08,234572
Assam,CHAMARIA,27,REKIBUDDIN AHMED,Indian National Congress,8839,16881,23889,31919,39207,45348,52720,58731,65238,73101,79555,85056,92022,98330,104608,111617,118078,124738,132062,138893,146281,148028,148623,149002,149475,,,,,,,,,149475,245,149720,63.83,234572
Assam,CHAMARIA,27,DELOWARA HUSSAIN,Socialist Unity Centre Of India (COMMUNIST),74,135,192,259,311,377,437,491,555,643,717,759,818,873,931,982,1039,1101,1177,1253,1309,1322,1327,1330,1330,,,,,,,,,1330,1,1331,0.57,234572
Assam,CHAMARIA,27,NURUL ISLAM,Independent,36,49,77,111,138,167,192,221,246,284,311,329,357,378,399,427,463,499,533,563,596,608,616,617,618,,,,,,,,,618,0,618,0.26,234572
Assam,CHAMARIA,27,MOHAMMAD SUMAIR LASKAR,Independent,39,73,118,164,199,249,308,360,410,454,499,540,572,614,640,669,724,786,846,895,945,966,969,971,973,,,,,,,,,973,0,973,0.41,234572
Assam,CHAMARIA,27,NOTA,None of the Above,49,109,154,224,287,332,385,440,512,577,626,667,726,785,841,892,989,1077,1163,1239,1298,1325,1326,1328,1329,,,,,,,,,1329,7,1336,0.57,234572
Assam,CHENGA,23,ABDUR RAHIM AHMED,Indian National Congress,8382,16653,24825,30767,36858,42289,47725,52516,55768,57410,61668,67794,75269,84401,92429,99652,108907,118749,128038,135993,137968,138380,138462,139005,,,,,,,,,,139005,162,139167,56.85,244817
Assam,CHENGA,23,ASHRAFUL HUSSAIN,All India United Democratic Front,2499,5540,8874,12994,15929,19449,21557,23592,25398,28121,29889,31461,33294,34859,36481,38815,42372,45935,48384,50380,51057,51205,51415,51680,,,,,,,,,,51680,138,51818,21.17,244817
Assam,CHENGA,23,SADDAM HUSSAIN,Asom Gana Parishad,102,230,408,668,844,1701,2253,2512,2649,2740,2903,3521,3919,4443,4648,4903,5047,5279,5425,5792,5822,5826,5833,5840,,,,,,,,,,5840,39,5879,2.4,244817
Assam,CHENGA,23,JOHIRUL ISLAM,Socialist Unity Centre Of India (COMMUNIST),17,35,72,102,142,188,217,243,296,324,372,391,424,445,477,510,538,567,589,621,629,631,634,636,,,,,,,,,,636,1,637,0.26,244817
Assam,CHENGA,23,AFTADUR ALI KHAN,Independent,53,114,594,1928,4216,5900,8673,13128,19240,25595,30883,32426,34333,35518,36983,38641,38944,39098,40145,42217,43015,43052,43745,43950,,,,,,,,,,43950,71,44021,17.98,244817
Assam,CHENGA,23,ABDUL RAHMAN,Independent,45,108,178,238,331,391,465,539,631,730,832,885,954,1021,1082,1163,1227,1297,1349,1394,1422,1424,1431,1437,,,,,,,,,,1437,3,1440,0.59,244817
Assam,CHENGA,23,NOTA,None of the Above,38,107,177,242,341,421,553,667,809,913,1056,1145,1221,1301,1370,1472,1534,1615,1710,1800,1819,1823,1835,1842,,,,,,,,,,1842,13,1855,0.76,244817
Assam,DALGAON,51,KRISHNA SAHA,Bharatiya Janata Party,195,330,511,1648,1806,1902,2131,3090,3262,3373,3580,7958,8362,10507,12357,12645,12823,13041,13347,13485,13871,14510,15975,16372,16662,16921,16932,16938,,,,,,16938,141,17079,5.61,304249
Assam,DALGAON,51,MAZIBUR RAHMAN,All India United Democratic Front,6666,12256,19101,25666,32505,37855,43788,48303,53952,60548,66679,69229,76025,80644,84718,91064,97830,103257,108715,114814,119569,124462,129889,134421,139767,145886,146836,147122,,,,,,147122,433,147555,48.5,304249
Assam,DALGAON,51,AZIZUR RAHMAN,Raijor Dal,453,736,1032,1618,2058,2205,2441,2716,3089,3431,3701,3949,4526,4869,5414,6226,7432,8035,8510,8981,9292,10297,12551,14758,16391,17227,17294,17556,,,,,,17556,57,17613,5.79,304249
Assam,DALGAON,51,MD AYNUL HOQUE,Independent,4115,10325,14295,18841,24553,29870,36297,41628,46882,51837,56723,59872,64431,67952,71836,76083,79925,85361,90529,94899,99206,103101,106880,109971,113352,117377,118084,118336,,,,,,118336,339,118675,39.01,304249
Assam,DALGAON,51,NOTA,None of the Above,139,261,366,492,610,711,834,988,1095,1246,1364,1494,1599,1692,1812,1953,2096,2220,2351,2483,2589,2710,2883,3031,3147,3276,3300,3316,,,,,,3316,11,3327,1.09,304249
Assam,DEMOW,95,AJOY KUMAR GOGOI,Indian National Congress,2579,5542,8674,11828,14372,17255,21087,24654,27495,31810,35051,38498,43056,47460,50653,54021,55545,55707,,,,,,,,,,,,,,,,55707,446,56153,37.4,150126
Assam,DEMOW,95,SUSANTA BORGOHAIN,Bharatiya Janata Party,5205,10292,16141,21867,26437,32418,37905,43361,49814,55023,60327,65516,70715,76302,81727,86414,88776,89100,,,,,,,,,,,,,,,,89100,581,89681,59.74,150126
Assam,DEMOW,95,AJOY BORA,Communist Party of India,76,187,320,427,560,728,868,1081,1302,1480,1701,1867,2010,2138,2350,2485,2551,2560,,,,,,,,,,,,,,,,2560,15,2575,1.72,150126
Assam,DEMOW,95,NOTA,None of the Above,52,116,195,273,392,527,615,760,895,1030,1105,1220,1322,1438,1531,1632,1688,1699,,,,,,,,,,,,,,,,1699,18,1717,1.14,150126
Assam,DERGAON,104,PULIN GOGOI,Aam Aadmi Party,147,277,419,517,641,823,962,1105,1371,1509,1677,1842,2025,2249,2491,2690,2810,2869,2888,,,,,,,,,,,,,,,2888,14,2902,1.95,148630
Assam,DERGAON,104,MRIDUL KUMAR DUTTA,Bharatiya Janata Party,6324,12701,18421,23350,28964,35071,40571,45573,51216,55339,60618,65979,71560,75808,80126,85521,88853,89165,89424,,,,,,,,,,,,,,,89424,625,90049,60.59,148630
Assam,DERGAON,104,SAGORIKA BORA,Indian National Congress,2299,5303,8143,10493,13174,16314,18964,22438,25771,30427,34168,37324,40213,43285,46686,50059,52167,52314,52820,,,,,,,,,,,,,,,52820,276,53096,35.72,148630
Assam,DERGAON,104,NOTA,None of the Above,138,289,410,554,677,846,1033,1173,1425,1552,1712,1844,2001,2145,2276,2425,2535,2544,2566,,,,,,,,,,,,,,,2566,17,2583,1.74,148630
Assam,DHAKUAKHANA,77,ANANDA NARAH,Indian National Congress,2345,5036,7818,11202,13430,16006,18568,21948,24739,27150,29479,31695,33421,35699,38396,41471,41663,,,,,,,,,,,,,,,,,41663,388,42051,30.81,136464
Assam,DHAKUAKHANA,77,SHRI NABA KUMAR DOLEY,Bharatiya Janata Party,5596,11145,16532,22339,27885,32777,37658,43723,49140,54651,60588,66783,74101,80599,85165,90754,91485,,,,,,,,,,,,,,,,,91485,638,92123,67.51,136464
Assam,DHAKUAKHANA,77,JUTIKA DOLEY,Socialist Unity Centre Of India (COMMUNIST),82,151,211,283,343,411,474,575,650,722,787,827,905,994,1079,1157,1167,,,,,,,,,,,,,,,,,1167,12,1179,0.86,136464
Assam,DHAKUAKHANA,77,NOTA,None of the Above,109,154,227,294,353,430,486,576,657,758,806,836,885,940,999,1086,1095,,,,,,,,,,,,,,,,,1095,16,1111,0.81,136464
Assam,DHEKIAJULI,65,ASHOK SINGHAL,Bharatiya Janata Party,4912,9286,13749,19153,24056,29601,35918,40969,46750,53054,59387,63886,69483,75538,81674,86147,90369,95679,101842,108278,110941,111272,,,,,,,,,,,,111272,608,111880,59.63,187633
Assam,DHEKIAJULI,65,BATASH ORANG,Indian National Congress,1682,3611,4492,5829,7017,10309,14157,17886,21881,24657,28182,34602,37930,40350,44403,48593,53783,57893,60324,61835,63280,63469,,,,,,,,,,,,63469,242,63711,33.96,187633
Assam,DHEKIAJULI,65,RANJOY BASUMATARY,Voters Party International,304,582,971,1085,1258,1312,1378,1417,1462,1511,1538,1595,1641,1670,1716,1784,1854,1887,1911,1928,1942,1942,,,,,,,,,,,,1942,15,1957,1.04,187633
Assam,DHEKIAJULI,65,ANSUMA BASUMATARY,Independent,596,2019,2933,3359,3816,3864,3890,3910,3953,4008,4029,4086,4122,4158,4231,4423,4695,4785,4864,4916,4945,4955,,,,,,,,,,,,4955,28,4983,2.66,187633
Assam,DHEKIAJULI,65,SAMSUL HAQUE,Independent,47,112,149,181,210,228,259,272,301,314,327,351,372,391,439,474,507,530,537,543,550,553,,,,,,,,,,,,553,0,553,0.29,187633
Assam,DHEKIAJULI,65,TARCIUS TOPNO,Independent,83,164,219,286,345,399,455,502,564,606,665,712,762,818,884,966,1033,1100,1135,1160,1175,1176,,,,,,,,,,,,1176,2,1178,0.63,187633
Assam,DHEKIAJULI,65,LADILAS INDWAR,Independent,98,233,296,366,450,502,557,618,656,686,712,757,776,808,867,939,996,1033,1049,1062,1072,1074,,,,,,,,,,,,1074,5,1079,0.58,187633
Assam,DHEKIAJULI,65,NOTA,None of the Above,108,228,292,419,548,680,822,912,1046,1159,1242,1320,1406,1491,1641,1790,1914,2000,2120,2222,2272,2275,,,,,,,,,,,,2275,17,2292,1.22,187633
Assam,DHEMAJI,78,DR. RANOJ PEGU,Bharatiya Janata Party,6812,12627,18171,23755,28393,33473,38438,42904,48949,54019,59227,63930,68041,72444,76858,82252,82998,,,,,,,,,,,,,,,,,82998,651,83649,58.51,142976
Assam,DHEMAJI,78,SRI SAILEN SONOWAL,Indian National Congress,3096,6104,8238,11164,14878,18373,22146,25358,28094,30641,33788,36645,40582,44552,47928,50623,51050,,,,,,,,,,,,,,,,,51050,370,51420,35.96,142976
Assam,DHEMAJI,78,SRI NARENDRA KUMAR PAW,All India Trinamool Congress,303,430,590,784,1010,1150,1345,1641,1821,2024,2202,2506,2905,3094,3284,3493,3519,,,,,,,,,,,,,,,,,3519,31,3550,2.48,142976
Assam,DHEMAJI,78,SRI LALIT PEGU,Voters Party International,51,138,257,306,487,533,621,697,762,801,832,860,898,959,1025,1071,1086,,,,,,,,,,,,,,,,,1086,5,1091,0.76,142976
Assam,DHEMAJI,78,SMTI. LILIMAI DOLEY,Socialist Unity Centre Of India (COMMUNIST),24,38,56,89,120,138,161,179,205,223,252,277,299,329,366,388,390,,,,,,,,,,,,,,,,,390,4,394,0.28,142976
Assam,DHEMAJI,78,SRI BABUL SONOWAL,Independent,72,147,192,262,352,410,469,549,738,834,997,1113,1237,1446,1584,1652,1659,,,,,,,,,,,,,,,,,1659,16,1675,1.17,142976
Assam,DHEMAJI,78,NOTA,None of the Above,74,140,206,260,342,425,475,555,643,695,763,818,907,1013,1116,1177,1185,,,,,,,,,,,,,,,,,1185,12,1197,0.84,142976
Assam,DHING,55,MATIUR RAHMAN,All India United Democratic Front,2049,3483,5394,9093,12842,18160,24368,27827,31741,34350,36071,37124,39606,44819,50361,51973,56894,58959,59456,59551,,,,,,,,,,,,,,59551,137,59688,27.12,220106
Assam,DHING,55,MUKUT KUMAR DEBNATH,Bharatiya Janata Party,160,489,1073,1310,1667,2019,2264,2592,2855,3141,3965,7090,7902,8087,9595,11382,12703,14356,19374,19392,,,,,,,,,,,,,,19392,180,19572,8.89,220106
Assam,DHING,55,ZAKIR ISLAM,Revolutionary Communist Party of India (Rasik Bhatt),143,284,424,588,791,951,1103,1297,1488,1688,1846,1967,2141,2294,2444,2706,2885,3013,3069,3077,,,,,,,,,,,,,,3077,11,3088,1.4,220106
Assam,DHING,55,MEHBOOB MUKTAR,Raijor Dal,8047,18369,27409,35248,42807,48220,53169,61599,69574,78208,85965,91113,98760,104254,109393,116067,121450,127791,130170,130839,,,,,,,,,,,,,,130839,343,131182,59.6,220106
Assam,DHING,55,HIRAK JYOTI BORA,Republican Party of India (Athawale),98,176,275,371,469,570,640,727,859,999,1265,2018,2131,2203,2283,2533,2638,2846,3151,3157,,,,,,,,,,,,,,3157,28,3185,1.45,220106
Assam,DHING,55,CHITA RANJAN NATH,Independent,96,166,233,336,416,496,568,649,775,902,984,1085,1162,1251,1341,1443,1540,1610,1702,1707,,,,,,,,,,,,,,1707,4,1711,0.78,220106
Assam,DHING,55,NOTA,None of the Above,69,142,221,296,373,456,534,642,732,820,896,1024,1105,1175,1268,1362,1457,1561,1666,1673,,,,,,,,,,,,,,1673,7,1680,0.76,220106
Assam,DHOLAI,120,AMIYA KANTI DAS,Bharatiya Janata Party,7811,14464,21762,29624,35497,42537,49007,50665,53706,58154,62777,68913,75646,81672,87370,94054,99683,99760,100080,,,,,,,,,,,,,,,100080,554,100634,62.73,160413
Assam,DHOLAI,120,DHRUBAJYOTI PURKAYASTHA,Indian National Congress,1585,3541,5415,7275,10365,11668,14106,23115,30163,35391,40122,43016,45068,47845,50820,52889,55240,55819,56020,,,,,,,,,,,,,,,56020,152,56172,35.02,160413
Assam,DHOLAI,120,GOUR CHANDRA DAS,Socialist Unity Centre Of India (COMMUNIST),77,245,302,375,432,449,494,563,629,670,727,788,845,903,936,971,1009,1011,1014,,,,,,,,,,,,,,,1014,6,1020,0.64,160413
Assam,DHOLAI,120,PARIMAL DAS,Independent,32,68,102,164,214,230,267,308,343,380,415,466,501,530,554,578,608,612,612,,,,,,,,,,,,,,,612,3,615,0.38,160413
Assam,DHOLAI,120,NOTA,None of the Above,127,252,372,517,603,695,755,865,940,1013,1112,1220,1328,1440,1514,1615,1725,1736,1739,,,,,,,,,,,,,,,1739,233,1972,1.23,160413
Assam,DHUBRI,8,UTTAM PRASAD,Bharatiya Janata Party,3785,4860,5767,6328,6818,7366,8989,16392,19706,26434,31506,36630,39444,41102,41478,41931,42592,43256,44413,46495,48739,49293,49311,,,,,,,,,,,49311,343,49654,22.5,220650
Assam,DHUBRI,8,NAZRUL HOQUE,All India United Democratic Front,1427,4505,8910,11816,15651,19986,21729,21917,22517,22936,23402,23974,25823,28142,31731,34283,36424,39940,42830,45910,48705,49462,49594,,,,,,,,,,,49594,107,49701,22.52,220650
Assam,DHUBRI,8,BABY BEGUM,Indian National Congress,4848,11475,17090,23690,30856,37963,45115,46027,50901,53120,56328,59022,65093,71878,77791,85071,91879,97762,104391,110873,116476,117349,118028,,,,,,,,,,,118028,334,118362,53.64,220650
Assam,DHUBRI,8,OMAR ALI SK.,Rashtriya Ulama Council,47,101,142,201,256,332,382,393,422,447,479,497,546,584,643,688,755,804,862,915,955,963,969,,,,,,,,,,,969,1,970,0.44,220650
Assam,DHUBRI,8,SHAHANA AKTAR,Socialist Unity Centre Of India (COMMUNIST),21,38,67,86,129,161,197,216,245,262,286,309,336,358,395,420,439,463,493,524,569,573,575,,,,,,,,,,,575,2,577,0.26,220650
Assam,DHUBRI,8,NOTA,None of the Above,57,96,157,201,249,319,397,532,635,702,797,883,955,1005,1043,1091,1135,1169,1225,1288,1351,1363,1366,,,,,,,,,,,1366,20,1386,0.63,220650
Assam,DIBRUGARH,88,PRASANTA PHUKAN,Bharatiya Janata Party,5137,10465,15762,22008,28304,35529,41252,48918,56982,63899,69559,74085,79647,85859,91571,99063,105102,105936,,,,,,,,,,,,,,,,105936,867,106803,67.79,157546
Assam,DIBRUGARH,88,KAMAL HAZARIKA,Vikas India Party,768,1508,1955,2600,3268,3645,4219,4532,4880,5358,6078,6846,7781,8820,9765,10665,11626,11641,,,,,,,,,,,,,,,,11641,58,11699,7.43,157546
Assam,DIBRUGARH,88,MAINAK PATRA,Assam Jatiya Parishad,2385,5952,8932,11445,13308,14376,16344,17224,18705,19886,21806,24461,26535,28847,32317,33456,34511,34565,,,,,,,,,,,,,,,,34565,195,34760,22.06,157546
Assam,DIBRUGARH,88,NOTA,None of the Above,195,400,583,785,1050,1238,1432,1621,1825,2082,2343,2602,2903,3257,3483,3890,4195,4213,,,,,,,,,,,,,,,,4213,71,4284,2.72,157546
Assam,DIGBOI,84,SUREN PHUKAN,Bharatiya Janata Party,3829,7529,10007,13436,16487,19393,22732,26320,29790,33739,36949,40260,43433,46586,51985,55614,57803,61317,65411,,,,,,,,,,,,,,,65411,279,65690,56.27,116749
Assam,DIGBOI,84,JITEN NAG,All India Trinamool Congress,130,325,434,601,705,838,948,1089,1192,1318,1440,1599,1720,1826,1975,2092,2163,2302,2424,,,,,,,,,,,,,,,2424,17,2441,2.09,116749
Assam,DIGBOI,84,DULAL MORAN,Raijor Dal,1924,3329,4089,5406,6447,8686,9713,11274,12495,13199,14088,15582,17420,19169,20299,21594,22812,24227,24561,,,,,,,,,,,,,,,24561,56,24617,21.09,116749
Assam,DIGBOI,84,BHARAT NAYAK,Jharkhand Mukti Morcha,664,2269,5061,6433,7932,8978,10876,12184,12582,13320,15401,16178,16825,17108,17234,17416,17489,18123,19616,,,,,,,,,,,,,,,19616,22,19638,16.82,116749
Assam,DIGBOI,84,LAKHESWAR MORAN,Independent,81,155,232,331,432,567,676,777,882,1118,1236,1294,1357,1407,1458,1503,1532,1589,1656,,,,,,,,,,,,,,,1656,10,1666,1.43,116749
Assam,DIGBOI,84,NOTA,None of the Above,177,327,534,716,904,1059,1191,1311,1388,1485,1689,1806,1947,2068,2237,2362,2427,2535,2672,,,,,,,,,,,,,,,2672,25,2697,2.31,116749
Assam,DIMORIA,34,SHRI KISHOR KUMAR BARUAH,Indian National Congress,2386,6019,8516,10743,13242,15607,19004,22098,24665,27483,30474,32546,36368,38561,40470,43647,45824,47739,49965,50438,,,,,,,,,,,,,,50438,235,50673,28.25,179348
Assam,DIMORIA,34,DR. TAPAN DAS,Asom Gana Parishad,6993,12742,18937,25275,31428,37647,43191,50667,56514,61851,67496,73845,79359,85597,91352,96277,102139,109994,115215,115496,,,,,,,,,,,,,,115496,562,116058,64.71,179348
Assam,DIMORIA,34,KABERI DAS TERAN,Independent,319,585,920,1322,1663,2032,2281,2571,2926,3247,3674,4047,4230,4526,4903,5186,5337,5570,5760,5782,,,,,,,,,,,,,,5782,71,5853,3.26,179348
Assam,DIMORIA,34,NITUL DAS,Independent,90,195,307,389,459,549,602,727,818,910,1003,1158,1206,1308,1455,1555,1620,1709,1840,1848,,,,,,,,,,,,,,1848,17,1865,1.04,179348
Assam,DIMORIA,34,BHASKAR JYOTI PATHAK,Independent,114,195,278,363,446,530,583,684,785,865,970,1061,1119,1183,1238,1341,1394,1526,1579,1588,,,,,,,,,,,,,,1588,5,1593,0.89,179348
Assam,DIMORIA,34,NOTA,None of the Above,295,496,690,958,1266,1533,1722,1952,2120,2262,2420,2542,2653,2726,2821,2970,3079,3182,3260,3273,,,,,,,,,,,,,,3273,33,3306,1.84,179348
Assam,DIPHU,110,NISO TERANGPI,Bharatiya Janata Party,6344,10002,15426,22460,28196,33591,39246,44225,48953,53110,57713,63909,69257,74452,80328,86430,89656,90065,,,,,,,,,,,,,,,,90065,801,90866,62.95,144357
Assam,DIPHU,110,BIRESH DIFOESA,Aam Aadmi Party,133,207,324,500,622,743,927,1103,1300,1459,1612,1811,1946,2138,2622,3053,3137,3145,,,,,,,,,,,,,,,,3145,42,3187,2.21,144357
Assam,DIPHU,110,J. I  KATHAR,Independent,2742,5358,7897,9317,12026,13657,16296,19015,22793,25588,28637,30792,34028,35148,37019,37860,40391,40675,,,,,,,,,,,,,,,,40675,451,41126,28.49,144357
Assam,DIPHU,110,RABINDRA RONGPI,Independent,57,94,143,199,260,297,368,430,521,604,706,803,901,957,1029,1087,1131,1135,,,,,,,,,,,,,,,,1135,17,1152,0.8,144357
Assam,DIPHU,110,RAJEN TIMUNG S/O LT. KANGBURA TIMUNG,Independent,269,466,713,837,1058,1269,1480,1749,2056,2251,2566,2808,3048,3213,3499,3753,4037,4061,,,,,,,,,,,,,,,,4061,11,4072,2.82,144357
Assam,DIPHU,110,RAJEN TIMUNG S/O LT. SARTHE TIMUNG,Independent,48,83,121,172,239,299,352,420,489,538,604,688,765,836,911,962,1014,1016,,,,,,,,,,,,,,,,1016,10,1026,0.71,144357
Assam,DIPHU,110,NOTA,None of the Above,153,247,394,629,822,945,1078,1273,1476,1690,1857,2059,2231,2397,2594,2742,2868,2873,,,,,,,,,,,,,,,,2873,55,2928,2.03,144357
Assam,DISPUR,33,PRADYUT BORDOLOI,Bharatiya Janata Party,8711,17804,24906,29838,35290,39040,43997,51714,57250,61560,63889,67252,71108,75512,79577,86548,92051,96485,101092,102705,,,,,,,,,,,,,,102705,632,103337,55.89,184890
Assam,DISPUR,33,BALLAV PATRA,Aam Aadmi Party,68,137,214,286,336,389,464,542,631,698,730,770,843,922,986,1095,1173,1227,1300,1314,,,,,,,,,,,,,,1314,9,1323,0.72,184890
Assam,DISPUR,33,MIRA BORTHAKUR GOSWAMI,Indian National Congress,1268,2514,4851,7528,9646,12204,15618,18077,21965,25880,31972,34967,36996,39272,41735,43393,45646,47990,52199,53295,,,,,,,,,,,,,,53295,375,53670,29.03,184890
Assam,DISPUR,33,AYUSH KUMAR SINGH,Independent,42,107,159,214,253,288,323,380,437,478,502,532,564,602,633,666,715,756,800,813,,,,,,,,,,,,,,813,4,817,0.44,184890
Assam,DISPUR,33,JAYANTA KUMAR DAS,Independent,553,1049,2238,3208,4192,5439,6860,7669,8918,9751,10508,11589,13305,15104,16777,18136,19590,20751,22025,22613,,,,,,,,,,,,,,22613,189,22802,12.33,184890
Assam,DISPUR,33,NOTA,None of the Above,156,310,480,663,803,956,1111,1256,1436,1575,1685,1806,1942,2082,2212,2380,2558,2679,2849,2892,,,,,,,,,,,,,,2892,49,2941,1.59,184890
Assam,DOOMDOOMA,82,DURGA BHUMIJ,Indian National Congress,1770,3386,5131,6682,8425,10192,12334,14289,15992,17437,18750,20466,22041,23257,25498,27117,28738,30090,30177,30429,30558,,,,,,,,,,,,,30558,69,30627,25.21,121500
Assam,DOOMDOOMA,82,RUPESH GOWALA,Bharatiya Janata Party,4463,8976,14455,19380,23606,27175,31733,37016,41437,46227,50857,55933,61461,65968,69913,74820,80004,84238,84620,85292,85756,,,,,,,,,,,,,85756,253,86009,70.79,121500
Assam,DOOMDOOMA,82,NOTA,None of the Above,319,583,841,1122,1484,1768,1999,2384,2552,2718,2912,3184,3481,3692,3957,4227,4532,4737,4751,4811,4847,,,,,,,,,,,,,4847,17,4864,4,121500
Assam,DOTMA,2,BIRKHANG BORO,Indian National Congress,1488,2143,3377,3910,5165,6635,10549,10740,10944,12674,13302,14764,15238,15295,15356,15367,,,,,,,,,,,,,,,,,,15367,43,15410,16.35,94274
Assam,DOTMA,2,RABIRAM NARZARY,Bodoland Peoples Front,2577,6393,9754,14887,18746,22872,26116,29919,33952,37987,42531,46270,47192,47613,47820,48137,,,,,,,,,,,,,,,,,,48137,638,48775,51.74,94274
Assam,DOTMA,2,RAJU KUMAR NARZARY,"United People's Party, Liberal",2040,4104,6470,8177,10108,11026,12511,14982,16933,18870,21095,23123,23426,23819,23980,24257,,,,,,,,,,,,,,,,,,24257,235,24492,25.98,94274
Assam,DOTMA,2,FUNGKHA BRAHMA,Independent,218,348,670,1396,2064,2509,2646,2818,3240,3402,3572,3676,3700,3705,3718,3722,,,,,,,,,,,,,,,,,,3722,18,3740,3.97,94274
Assam,DOTMA,2,RANANJAY NARZARY,Independent,100,168,251,293,408,471,545,576,601,634,667,699,708,712,714,715,,,,,,,,,,,,,,,,,,715,4,719,0.76,94274
Assam,DOTMA,2,NOTA,None of the Above,158,276,408,494,602,715,794,853,903,964,1029,1096,1111,1122,1125,1127,,,,,,,,,,,,,,,,,,1127,11,1138,1.21,94274
Assam,DUDHNAI,15,KISHORE KUMAR BRAHMA,Indian National Congress,683,2858,6091,10536,11844,14046,16477,18295,20335,22783,26186,28140,29963,31233,32784,34831,36273,38593,40283,43988,46181,49315,52193,52552,,,,,,,,,,52552,164,52716,33.4,157848
Assam,DUDHNAI,15,TANKESWAR RABHA,Bharatiya Janata Party,6089,10522,14366,18233,22182,26626,31605,35606,40493,43993,47933,52846,57451,62725,68725,73130,77690,81441,85237,89172,93366,95661,99449,99677,,,,,,,,,,99677,676,100353,63.58,157848
Assam,DUDHNAI,15,MANORANJAN BASUMATARI,Voters Party International,67,91,119,166,235,281,350,407,491,548,629,714,790,854,926,1069,1204,1336,1416,1478,1557,1581,1735,1746,,,,,,,,,,1746,11,1757,1.11,157848
Assam,DUDHNAI,15,RANDEEPSING MARAK,Independent,24,42,60,83,93,108,147,170,187,210,237,267,299,315,345,385,412,440,463,506,529,563,628,647,,,,,,,,,,647,3,650,0.41,157848
Assam,DUDHNAI,15,ROHIT KACHARI,Independent,37,60,84,114,137,163,197,238,260,284,318,362,395,422,463,514,555,583,629,658,681,699,768,779,,,,,,,,,,779,2,781,0.49,157848
Assam,DUDHNAI,15,NOTA,None of the Above,57,127,178,256,287,356,422,486,557,613,689,764,834,920,1001,1077,1145,1239,1313,1357,1402,1447,1566,1579,,,,,,,,,,1579,12,1591,1.01,157848
Assam,DULIAJAN,90,DHRUBA GOGOI,Indian National Congress,4040,7582,10836,14315,17436,20734,24598,28740,32308,37044,40335,42783,46725,50959,55712,59231,59401,59778,60010,60240,60681,,,,,,,,,,,,,60681,327,61008,42.52,143474
Assam,DULIAJAN,90,RAMESWAR TELI,Bharatiya Janata Party,4648,9026,14962,19916,22730,27140,30844,35964,40324,44647,47893,51254,55331,58922,64846,69339,69775,70078,70604,70912,71182,,,,,,,,,,,,,71182,285,71467,49.81,143474
Assam,DULIAJAN,90,PETER MINJ,Jharkhand Mukti Morcha,497,966,1286,1366,1458,1919,2448,3272,3738,3870,4537,6373,7242,7469,7843,8210,8320,8348,8364,8374,8378,,,,,,,,,,,,,8378,11,8389,5.85,143474
Assam,DULIAJAN,90,NOTA,None of the Above,232,413,583,756,890,1049,1200,1396,1542,1665,1774,1949,2102,2267,2378,2516,2540,2562,2574,2577,2592,,,,,,,,,,,,,2592,18,2610,1.82,143474
Assam,GAURIPUR,7,ABDUS SOBAHAN ALI SARKAR,Indian National Congress,7017,12411,19392,24588,30283,36174,40976,47520,53916,59569,64984,71547,80146,87983,93473,99207,103975,110544,117083,123231,129956,136725,143876,151822,161232,169782,178564,182004,182609,,,,,182609,362,182971,61.12,299353
Assam,GAURIPUR,7,NIZANUR RAHMAN,All India United Democratic Front,2850,4908,7518,9431,12758,15482,17114,19409,21821,23950,26087,27959,29477,31227,32577,35885,38109,40641,42959,46668,49802,52464,55730,58093,59576,60891,62437,63557,63678,,,,,63678,196,63874,21.34,299353
Assam,GAURIPUR,7,MEHETABUL HAQUE,Asom Gana Parishad,490,2846,4402,6855,8752,10395,13176,14791,16584,18759,21282,23091,23698,24280,25271,25756,27855,28619,29518,29630,29745,30094,30669,31220,31520,31935,32575,32903,32919,,,,,32919,223,33142,11.07,299353
Assam,GAURIPUR,7,ABUL MIAH,Raijor Dal,119,269,542,1034,1273,1439,2500,2943,3218,3766,4232,4564,5048,5348,7826,8705,9363,9784,10249,10537,10710,10859,11142,11450,11776,12018,12293,12388,12419,,,,,12419,48,12467,4.16,299353
Assam,GAURIPUR,7,SAIDUR RAHMAN SARKAR,Republican Party of India (Athawale),21,49,70,84,97,108,128,145,163,177,198,214,227,240,263,272,286,298,316,330,338,351,372,388,400,412,426,442,444,,,,,444,3,447,0.15,299353
