state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,BIJNI,20,DIMBESWAR BORO,Independent,898,1757,2217,3115,3835,4219,4484,4576,4929,4997,5123,5246,5389,5534,5648,5730,6008,6174,6200,,,,,,,,,,,,,,,6200,138,6338,3.84,165075
Assam,BIJNI,20,NASHIR UDDIN KHAN,Independent,171,384,584,766,934,1190,1319,1477,1573,1685,1795,1894,2020,2126,2332,2462,2625,2718,2773,,,,,,,,,,,,,,,2773,7,2780,1.68,165075
Assam,BIJNI,20,PRABHAT BASUMATARY,Independent,40,79,121,140,175,208,240,271,295,323,345,371,402,424,459,495,534,549,562,,,,,,,,,,,,,,,562,13,575,0.35,165075
Assam,BIJNI,20,MANARANJAN BARMAN,Independent,52,104,165,207,261,301,340,361,397,445,484,531,576,630,670,712,760,783,790,,,,,,,,,,,,,,,790,5,795,0.48,165075
Assam,BIJNI,20,NOTA,None of the Above,135,207,326,396,515,617,762,899,1172,1315,1433,1564,1655,1755,1831,1925,2066,2098,2119,,,,,,,,,,,,,,,2119,31,2150,1.3,165075
Assam,BILASIPARA,10,AMRIT BADSHA,Indian National Congress,1241,4329,10323,14230,18845,26982,33538,38704,41983,44133,49396,53556,58816,64726,68360,71463,75042,81320,82401,82961,83012,,,,,,,,,,,,,83012,231,83243,46.59,178686
Assam,BILASIPARA,10,SABANA AKTAR,All India United Democratic Front,117,261,537,694,944,1352,1595,1811,1881,1946,2075,2239,2547,2894,3055,3239,3515,4182,4289,4332,4336,,,,,,,,,,,,,4336,14,4350,2.43,178686
Assam,BILASIPARA,10,JIBESH ROY,Asom Gana Parishad,6827,12898,15905,19672,24735,27461,31185,34473,40860,47080,51836,55493,60377,63998,69122,74634,80838,84000,84121,84241,85054,,,,,,,,,,,,,85054,883,85937,48.09,178686
Assam,BILASIPARA,10,MOMINUR ISLAM,All India Trinamool Congress,78,149,204,241,293,374,440,510,576,631,699,760,818,908,988,1039,1153,1220,1224,1231,1238,,,,,,,,,,,,,1238,3,1241,0.69,178686
Assam,BILASIPARA,10,HAKIMUL ISLAM,Rashtriya Ulama Council,33,96,114,142,184,214,258,283,311,338,360,386,420,446,484,523,572,612,614,614,617,,,,,,,,,,,,,617,1,618,0.35,178686
Assam,BILASIPARA,10,SHEIKH HEDAYETULLAH,Independent,18,50,91,148,189,245,324,406,443,473,555,685,774,827,956,1610,1723,2085,2103,2107,2108,,,,,,,,,,,,,2108,26,2134,1.19,178686
Assam,BILASIPARA,10,NOTA,None of the Above,72,124,181,208,273,332,392,443,527,636,702,735,784,840,895,967,1053,1116,1121,1127,1147,,,,,,,,,,,,,1147,16,1163,0.65,178686
Assam,BINNAKANDI,62,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,3650,8302,13298,16719,20135,26295,33615,39283,43294,48098,54682,60938,64232,69804,75353,80556,84424,89452,93907,98532,102848,107076,111861,116032,117549,117949,118199,118629,118940,119357,,,,119357,364,119721,50.54,236890
