state,district,district_number,constituency,constituency_number,candidate,party,evm_votes,postal_votes,candidate_total_votes,candidate_vote_%,total_polled_votes,male_votes,female_votes,thirunangai_votes,total_votes
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,T.M.Anbarasan,Dravida Munnetra Kazhagam,115777,1008,116785,49.12,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,B.Valarmathi,All India Anna Dravida Munnetra Kazhagam,75634,580,76214,32.06,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,N.Raja,Desiya Makkal Sakthi Katchi,261,4,265,0.11,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,G Kamalakannan,Tamil Nadu Ilangyar Katchi,1096,9,1105,0.46,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Dr.R.Karthikeyan,Naam Tamilar Katchi,16453,53,16506,6.94,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Sarathbabu,Makkal Needhi Maiam,21045,72,21117,8.88,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Subashree,Anaithu Makkal Arasiyal Katchi,187,0,187,0.08,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Dr.R.Suresh,Bhartiya Manavadhikaar Federal Party,63,0,63,0.03,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,M Mohammed Thameem Ansari,SOCIAL DEMOCRATIC PARTY OF INDIA,1750,11,1761,0.74,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Rajesh Chinnadurai,National Democratic Party of South India,54,6,60,0.03,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,J.Vincent,Republican Party of India (Athawale),36,10,46,0.02,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,E.Anbarasu,Independent,199,3,202,0.08,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,S.Anbarasu,Independent,84,0,84,0.04,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,M Anbarasu,Independent,108,0,108,0.05,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,M.Ashok Kumar,Independent,73,1,74,0.03,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Ali Mohamed,Independent,219,1,220,0.09,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,A.Abrahamlincon,Independent,260,0,260,0.11,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,P.Sathiyaraj,Independent,140,0,140,0.06,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,K Saravanan,Independent,40,0,40,0.02,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,C Saravanan,Independent,39,1,40,0.02,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,S.V.Saravanan,Independent,56,0,56,0.02,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Nithyanandham S,Independent,106,1,107,0.05,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,B Raji,Independent,28,0,28,0.01,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,M.Valarmathi,Independent,229,10,239,0.1,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,S.Sridhar,Independent,156,0,156,0.07,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,NOTA,None of the Above,1878,10,1888,0.79,237751,175877,177105,14,352996
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,M.CHINNADURAI,Bahujan Samaj Party,442,2,444,0.26,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,DHARMA THANGAVEL,All India Anna Dravida Munnetra Kazhagam,61918,170,62088,36.13,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,86743,1192,87935,51.17,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,C.THIRUCHELVAM,Naam Tamilar Katchi,15403,74,15477,9.01,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,P.BALAMURUGAN,My India Party,179,1,180,0.1,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,G.MANIMEGALAI,Communist Party of India  (Marxist-Leninist)  (Liberation),163,2,165,0.1,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,D.VIDANGAR,Amma Makkal Munnettra Kazagam,2899,25,2924,1.7,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,N.VAIRAVAN,Makkal Needhi Maiam,1221,9,1230,0.72,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,C.JAYA,Anaithu Makkal Puratchi Katchi,154,1,155,0.09,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,V.KANNADASAN,Independent,343,0,343,0.2,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,T.VINAYAGAMOORTHY,Independent,199,0,199,0.12,171842,99070,100177,0,199247
Tamil Nadu,PUDUKKOTTAI,22,Alangudi,182,NOTA,None of the Above,699,3,702,0.41,171842,99070,100177,0,199247
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,PAUL MANOJ PANDIAN,All India Anna Dravida Munnetra Kazhagam,73846,307,74153,36.44,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,DR.POONGOTHAI ALADI ARUNA,Dravida Munnetra Kazhagam,69325,1289,70614,34.7,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,RAJENDRANATHAN,Desiya Murpokku Dravida Kazhagam,2797,19,2816,1.38,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,A.UDHAYAKUMAR,Puthiya Tamilagam,1098,7,1105,0.54,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,M.SANGEETHA ESAK,Naam Tamilar Katchi,12396,123,12519,6.15,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,S.SELVAKUMAR,Makkal Needhi Maiam,1439,15,1454,0.71,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,ARUNKUMAR.K,Independent,492,0,492,0.24,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,S.SANKAR GANESH YADAV,Independent,375,1,376,0.18,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,K.SIVARAM,Independent,435,1,436,0.21,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,HARI NADAR.A,Independent,37603,124,37727,18.54,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Alangulam,223,NOTA,None of the Above,1772,14,1786,0.88,203478,120026,125968,0,245994
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,R.AVUDAIAPPAN,Dravida Munnetra Kazhagam,67267,1029,68296,38.44,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,E.SUBAYA,All India Anna Dravida Munnetra Kazhagam,84665,546,85211,47.96,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,MANIMARAN,Bahujan Samaj Party,505,4,509,0.29,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,C.GANESAN,Makkal Needhi Maiam,2765,42,2807,1.58,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,SHENBAGA VALLI,Naam Tamilar Katchi,13599,136,13735,7.73,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,C.RANI RANJITHAM,Amma Makkal Munnettra Kazagam,4146,48,4194,2.36,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,S. LAKSHMANAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,178,0,178,0.1,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,ABDUL MAJEETH,Independent,88,0,88,0.05,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,ARUNACHALAM,Independent,117,2,119,0.07,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,S.GANESAN,Independent,166,0,166,0.09,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,M.GAVASKAR,Independent,310,5,315,0.18,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,J.RAJESH DHARMASINGH PANDIAN,Independent,390,0,390,0.22,177681,115001,121216,1,236218
Tamil Nadu,TIRUNELVELI,29,Ambasamudram,225,NOTA,None of the Above,1665,8,1673,0.94,177681,115001,121216,1,236218
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,V ALEXANDER,All India Anna Dravida Munnetra Kazhagam,71908,500,72408,30.13,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,R Radha,Nationalist Congress Party,613,2,615,0.26,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,JOSEPH SAMUEL,Dravida Munnetra Kazhagam,113371,1183,114554,47.67,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,R ANBU THENARASAN,Naam Tamilar Katchi,22638,63,22701,9.45,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,S Veena,Anaithu Makkal Arasiyal Katchi,231,2,233,0.1,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,S VEDHACHALAM,Amma Makkal Munnettra Kazagam,2616,15,2631,1.09,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,S VAITHESWARAN,Makkal Needhi Maiam,22286,84,22370,9.31,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,M S ARUMUGAM,Independent,141,1,142,0.06,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,N Ganesan,Independent,55,0,55,0.02,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,A S Kesavan,Independent,59,0,59,0.02,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,G Srinivasan,Independent,56,1,57,0.02,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,G Soma Sundaram,Independent,80,0,80,0.03,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,P Dhanraj,Independent,52,3,55,0.02,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,NARMADA NANDHAKUMAR,Independent,176,1,177,0.07,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,Bharadan,Independent,111,0,111,0.05,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,K Bharathi,Independent,801,6,807,0.34,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,S Praveen,Independent,251,0,251,0.1,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,A R MURUGAVEL,Independent,94,1,95,0.04,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,T MUNIANDI,Independent,156,0,156,0.06,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,Ravi,Independent,44,0,44,0.02,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,C RAGHUL,Independent,138,1,139,0.06,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,G Vijayakumar,Independent,39,0,39,0.02,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,T Joseph Samuvel SanthaKumar,Independent,162,0,162,0.07,240299,181950,179887,104,361941
Tamil Nadu,THIRUVALLUR,1,Ambattur,8,NOTA,None of the Above,2332,26,2358,0.98,240299,181950,179887,104,361941
Tamil Nadu,VELLORE,4,Ambur,48,NAZAR MOHAMED.K,All India Anna Dravida Munnetra Kazhagam,69903,341,70244,39.49,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,WAZEER AHMED.J,Bahujan Samaj Party,678,3,681,0.38,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,VILWANATHAN.A.C,Dravida Munnetra Kazhagam,89561,915,90476,50.86,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,ASHOK KUMAR.C,Anaithu Makkal Puratchi Katchi,316,3,319,0.18,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,UMAR FAROOK.ASA,SOCIAL DEMOCRATIC PARTY OF INDIA,1787,6,1793,1.01,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,KAREEM BASHA.A,Rashtriya Ulama Council,81,1,82,0.05,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,PARTHIBAN.V,All India Youth Development Party,101,0,101,0.06,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,MANI.S.P,All Pensioner’s Party,358,5,363,0.2,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,MAHARUNNISHA,Naam Tamilar Katchi,10102,48,10150,5.71,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,RAJA.S,Makkal Needhi Maiam,1629,9,1638,0.92,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,MURUGAN.L,Independent,199,2,201,0.11,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,RAJINIKANTH.P,Independent,252,1,253,0.14,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,GEORGE.V.A.,Independent,159,1,160,0.09,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Ambur,48,NOTA,None of the Above,1410,7,1417,0.8,177878,105548,109444,1,214993
Tamil Nadu,VELLORE,4,Anaikattu,44,A.P.Nandakumar,Dravida Munnetra Kazhagam,94084,1075,95159,48.11,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,D.Velazhagan,All India Anna Dravida Munnetra Kazhagam,88031,768,88799,44.89,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,V.D.Sathish Kumar,Amma Makkal Munnettra Kazagam,1125,15,1140,0.58,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,A.Sumithra,Naam Tamilar Katchi,7974,151,8125,4.11,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,K.Rajasekar,Indiya Jananayaka Katchi,323,5,328,0.17,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,M.Arun,Independent,42,2,44,0.02,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,R Karunamoorthy,Independent,61,1,62,0.03,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,N.Kirubakaran,Independent,104,5,109,0.06,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,M.Senthil Kumar,Independent,1335,22,1357,0.69,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,K.Naveenkumar,Independent,93,1,94,0.05,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,T.Mathan Kumar,Independent,149,1,150,0.08,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,M RajBabu,Independent,179,0,179,0.09,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,P Venkatesan,Independent,468,0,468,0.24,197805,114475,119105,1,233581
Tamil Nadu,VELLORE,4,Anaikattu,44,NOTA,None of the Above,1768,23,1791,0.91,197805,114475,119105,1,233581
Tamil Nadu,THENI,25,Andipatti,198,S.KAMATCHI,Bahujan Samaj Party,387,5,392,0.19,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,A.MAHARAJAN,Dravida Munnetra Kazhagam,92057,1484,93541,44.64,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,A.LOGIRAJAN,All India Anna Dravida Munnetra Kazhagam,84542,461,85003,40.57,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,C.KANIVEL,Anaithu Makkal Puratchi Katchi,650,0,650,0.31,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,S.GUNASEKARAN,Makkal Needhi Maiam,2958,52,3010,1.44,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,M.KUMARAN,My India Party,105,4,109,0.05,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,S.GOVINDHARAJ,All India MGR Makkal Munnetra Kazhagam,112,3,115,0.05,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,BALAMURUGAN,National Democratic Party of South India,122,5,127,0.06,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,A.VELUCHAMY,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,114,1,115,0.05,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,JEYAKUMAR,Naam Tamilar Katchi,11034,182,11216,5.35,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,R.JEYAKUMAR,Amma Makkal Munnettra Kazagam,11746,150,11896,5.68,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,M.EASWARAN,Independent,125,2,127,0.06,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,K.KASENDRAN @ GAJENDRAN,Independent,84,1,85,0.04,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,M.DIVAKAR,Independent,115,0,115,0.05,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,P.PANIVURAJA,Independent,155,1,156,0.07,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,P.PANDIDURAI,Independent,226,1,227,0.11,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,MARIYAMMAL,Independent,148,1,149,0.07,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,M.RAGHUNATHAN,Independent,457,0,457,0.22,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,VELMANI,Independent,566,6,572,0.27,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,V.JEYAKODI,Independent,141,4,145,0.07,209540,127286,128258,20,255564
Tamil Nadu,THENI,25,Andipatti,198,NOTA,None of the Above,1308,25,1333,0.64,209540,127286,128258,20,255564
Tamil Nadu,CHENNAI,2,Anna Nagar,21,S. Gokula Indira,All India Anna Dravida Munnetra Kazhagam,52297,312,52609,31.87,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,M.K. Mohan,Dravida Munnetra Kazhagam,79356,698,80054,48.49,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,D. JeevithKumar,Bahujan Samaj Party,220,0,220,0.13,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,Ansar Ahamed,Anaithu Makkal Arasiyal Katchi,69,0,69,0.04,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,K.N. Gunasekaran,Amma Makkal Munnettra Kazagam,1163,6,1169,0.71,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,S. Shankar,Naam Tamilar Katchi,10361,45,10406,6.3,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,P. Dhanasekar,Nam India Naam Indiyar Katchi,59,0,59,0.04,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,J. Nagaraj,New Generation People’s Party,53,0,53,0.03,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,V. Paulraj Guna,Republican Party of India (Athawale),73,0,73,0.04,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,S.D. Prabhakar,Tamil Nadu Ilangyar Katchi,406,2,408,0.25,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,V. Ponraj,Makkal Needhi Maiam,17434,88,17522,10.61,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,S. Yuvaraja,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,56,0,56,0.03,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,M. Veriyandi,Anna MGR Dravida Makkal Kalgam,32,0,32,0.02,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,L. Kasinathan,Independent,74,0,74,0.04,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,P.E. Gopinath,Independent,62,0,62,0.04,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,S. Sathyanarayanan,Independent,158,0,158,0.1,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,K. Sathish Kumar,Independent,125,0,125,0.08,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,R. Saravanan,Independent,122,0,122,0.07,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,V.M. Nagarajan,Independent,84,2,86,0.05,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,P. Manimaran,Independent,13,0,13,0.01,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,M. Manokaran,Independent,27,0,27,0.02,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,A. Jayaprakash,Independent,12,0,12,0.01,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,Hari Shankar,Independent,141,1,142,0.09,165096,141261,145285,69,286615
Tamil Nadu,CHENNAI,2,Anna Nagar,21,NOTA,None of the Above,1529,16,1545,0.94,165096,141261,145285,69,286615
Tamil Nadu,ERODE,11,Anthiyur,105,SHANMUGAVEL.K.S,All India Anna Dravida Munnetra Kazhagam,77474,347,77821,44.12,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,PATTAN.G,Bahujan Samaj Party,956,1,957,0.54,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,VENKATACHALAM.A.G,Dravida Munnetra Kazhagam,78038,1058,79096,44.84,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,GURUNATHAN.M,Makkal Needhi Maiam,2466,8,2474,1.4,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,SARAVANAN.M,Naam Tamilar Katchi,8162,68,8230,4.67,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,SELVAM.S.R,Amma Makkal Munnettra Kazagam,1207,5,1212,0.69,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,BAKKIYAM.M,India Dravida Makkal Munnetra Katchi,103,0,103,0.06,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,PRATHABAN.A,Ahimsa Socialist Party,2035,10,2045,1.16,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,RAJENDRAN.K,Ganasangam Party of India,229,0,229,0.13,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,ANBALAGAN.K,Independent,198,1,199,0.11,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,KARTHIKEYAN.R,Independent,130,2,132,0.07,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,GEETHA.M,Independent,151,1,152,0.09,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,KUMARASAMY.R,Independent,224,1,225,0.13,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,SHANMUGAM.K,Independent,503,0,503,0.29,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,SENGUTTUVAN.M.R,Independent,183,1,184,0.1,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,THANGAVEL.M,Independent,543,0,543,0.31,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,POORNACHANDRAN.S,Independent,567,0,567,0.32,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,PERIYASAMY.T,Independent,146,1,147,0.08,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,MUTHUSAMY.M,Independent,428,0,428,0.24,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,SHEIKDAVOOD.A.M,Independent,110,1,111,0.06,176385,104051,104965,4,209020
Tamil Nadu,ERODE,11,Anthiyur,105,NOTA,None of the Above,1017,10,1027,0.58,176385,104051,104965,4,209020
Tamil Nadu,VELLORE,4,Arakkonam,38,P.SUDHAKAR,Bahujan Samaj Party,1816,9,1825,1.06,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,S.RAVI,All India Anna Dravida Munnetra Kazhagam,85057,342,85399,49.82,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,E.ABIRAMI,Naam Tamilar Katchi,14561,70,14631,8.54,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,GOWTHAMA SANNAH.J,Viduthalai Chiruthaigal Katchi,57345,885,58230,33.97,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,S.BASKARAN,Makkal Needhi Maiam,3522,21,3543,2.07,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,K.C.MANIVANNAN,Amma Makkal Munnettra Kazagam,4747,30,4777,2.79,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,V.RAVI,Independent,96,1,97,0.06,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,A.GAUTHAMAN,Independent,109,3,112,0.07,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,C.M.GOWTHAMAN,Independent,284,1,285,0.17,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,M.MANIKANDAN,Independent,111,2,113,0.07,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,M.MADHANRAJ,Independent,184,0,184,0.11,171412,108516,112710,19,221245
Tamil Nadu,VELLORE,4,Arakkonam,38,C.MOHAN,Independent,128,0,128,0.07,171412,108516,112710,19,221245
